text,label,emotion
Me siento desanimado por el ritmo de mi evolución personal y a menudo me siento como Jack Kerouac arrojando sus canicas al torbellino de olas de Big Sur.,0,tristeza
Paso tiempo saliendo o intentando tener una cita solo para terminar sintiéndome confundido,4,miedo
Admito que me sentí un poco alarmado porque su libro también se basó en el antiguo Sarawak y parecía haber líneas argumentales paralelas a las crónicas de Jugra.,4,miedo
Siento un poco de pasión por los viajes ya que estoy a punto de irme de vacaciones por unos días con mi amado g.,2,amor
"Me siento presionada a ser la mujer perfecta y feliz, pero es porque me cuesta dejar que la gente pase de cierto nivel, por lo que es más fácil por defecto ser feliz, tener suerte, lo que normalmente soy de todos modos.",4,miedo
No puedo evitar sentir que alguien terminará enojado conmigo.,3,ira
"No quiero sentir nada, quiero estar entumecido.",0,tristeza
me siento tan virtuoso,1,alegria
Todavía siento ese amor navideño con mis tableros Polyvore y es solo el comienzo del Adviento.,2,amor
Me siento mucho más agradecido hoy.,1,alegria
No puedo evitar sentir que si no hubiera sido tan egoísta entonces podría haberte protegido de sentirte así ahora.,3,ira
"Debo decirles que me siento bastante estúpido parado en mi jardín acelerando el motor y dejando que se detenga, acelerando el motor y dejándolo parar varias veces para obtener más pulgadas de línea.",0,tristeza
"Seré honesto, me siento casi tan aliviado ahora como cuando descubrí que iban a publicar un libro.",1,alegria
me siento tonto pero feliz,0,tristeza
me siento artístico,1,alegria
Estoy feliz de informar que hoy no sentí esa necesidad enojada de golpear a Olivia como lo había sentido antes.,3,ira
"Me siento como un farsante, un fraude, un hipócrita.",0,tristeza
"No he podido correr durante dos semanas, así que me siento muy malhumorado y letárgico.",3,ira
"Me concentro en ello y mejor me siento. He estado escribiendo esta publicación sobre lo que me hace realmente feliz después de inspirarme en el proyecto de felicidad y parece la cosa más simple, pero es muy reveladora.",1,alegria
me siento tonto después de eso,0,tristeza
Me pregunto por qué la generación hip hop de afroamericanos siente que la palabra negro está bien.,1,alegria
"Tengo una sensación de malestar y anhelo cada segundo de estar contigo, aunque eso inevitablemente empeorará las cosas cuando te vayas de Liverpool.",2,amor
"He querido escribir sobre una vida secreta. Vivo una que sólo un puñado de personas conocen, una que mantengo en secreto y una de la que me siento avergonzado aunque sé que es perfectamente normal y humana y en el fondo siento que es correcto.",0,tristeza
lo digo me hace sentir especial,1,alegria
"Siempre me siento presionado a actuar normal al comer con mi familia en Navidad, así que sí, tendré que perder peso para sentirme cómodo comiendo postres y esas cosas.",4,miedo
Me estaba motivando a perder peso y estar saludable y usar ese atuendo y sentirme fantástico.,1,alegria
"Recuerdo sentirme más divertido que sentir que estaba en peligro real, sin embargo debí haber estado experimentando un poco de shock.",1,alegria
"Estoy seguro de que no hay muchas personas mirando esta basura en este momento, pero básicamente siento la necesidad de compartir algo con las pocas personas desafortunadas que probablemente estén tan aburridas en el trabajo como yo actualmente.",0,tristeza
Soy una mala persona por sentirme agobiada por nuestra relación.,0,tristeza
Sólo quería que el mundo volviera a parecerme extraño.,4,miedo
Me siento convencido de que esta es otra relación que está dañada y que era una de las pocas en las que confiaba.,1,alegria
Espero con ansias cuando me sienta mejor y pueda escribir más a menudo,1,alegria
"Pasé gran parte de la mañana sintiéndome como un impostor o un visitante en la vida de otra persona y sin saber qué debería hacer a continuación, si es que debía hacer algo.",4,miedo
"Me siento demasiado egoísta para hablar de ti con alguien más porque no quiero que piensen que solo soy dramático y quejoso cuando en realidad es difícil para ellos entender que sí, alguien puede verse bien y aun así sentirse terrible.",3,ira
Me siento un poco solo en este momento a pesar de que acabo de hablar con Jack Sarah y muchos de mis otros amigos.,0,tristeza
Les he contado a mis padres cómo me siento honestamente al estar en este curso y me alegro de que retrocedan y me dejen decidir qué quiero hacer a continuación en mi vida.,1,alegria
Me siento seguro y cálido y hay mucho sol. Uno pensaría que me volvería complaciente.,1,alegria
"Acababa de comer una hamburguesa ferroviaria particularmente espantosa y por eso me sentía irritado incluso antes de leer sus comentarios, de ahí mi sugerencia de que solo era un supuesto secretario de medio ambiente.",3,ira
Me siento seguro y feliz cuando la casa está limpia.,1,alegria
Tengo sentimientos encontrados sobre este single pero me alegra verla trabajar de nuevo.,1,alegria
lo sé es que me siento fantástico,1,alegria
"Honestamente, me siento muy infeliz con todo en mi vida y no es lo suficientemente simple para mí poder cambiar estas cosas que me hacen sentir tan infeliz con un clic de mi dedo.",0,tristeza
"Siento que necesito agregar esta foto a mi si él no fuera rico, ella no estaría con él. Un título. No hay manera de que este hombre tenga a esta chica si no fuera rico. Biggie Kevin Hart Wiz Khalifa Bu Thaim y Jay Z href http www",1,alegria
Siento un pequeño y agradable zumbido en mi lengua y un sabor limpio y refrescante.,1,alegria
Disfruto no sentirme cachonda ni tener ansias de sexo.,2,amor
"Me siento letárgico, desmotivado, necesitado y frustrado.",0,tristeza
Siempre siento que vale la pena profundamente.,1,alegria
Tengo la sensación de que sólo estaba medio convencido.,1,alegria
Logré estirar con éxito un lienzo de mxm. Siento que esto es un logro en sí mismo para mí y fue un uso valioso de mi dinero y tiempo. Usaré el lienzo para resúmenes futuros.,1,alegria
"Ojalá pudiera sentirme más seguro de mí mismo, mis decisiones, mis pensamientos, mi percepción son un infierno, pero parece que de vez en cuando aparece alguien y derriba a uno o más de esos.",1,alegria
Sólo espero poder caminar para entonces porque mis muslos no se sienten nada amigables hoy.,1,alegria
Realmente solo me inspiro para escribir en este blog cuando me siento mal por la vida y supongo que septiembre es mi mes de nacimiento y todo fue genial.,0,tristeza
Todavía me siento un poco aturdido por una experiencia que tuve esta noche mientras veía una película.,5,sorpresa
"No veo mucho, sin embargo, cuando lo hago, apago la televisión y me quedo atónito.",5,sorpresa
Me siento como una perra ingrata por lo que te hice ver,0,tristeza
Siento que soy el Sombrerero Loco en lugar de Alicia.,3,ira
casi me siento odiado por todos,3,ira
pienso en esa imagen me siento tranquilo y seguro un href http revelathestaryoutrulyare,1,alegria
Ni siquiera puedo recordar lo que se siente al ser amado.,2,amor
Estoy socializando y a veces me siento tan incómodo con otras personas que como para ocultar el hecho de que no tengo nada que aportar a la conversación.,0,tristeza
me siento mal por lo que paso,0,tristeza
Tiendo a dejar de respirar cuando me siento estresado.,3,ira
Deseo que la planificación de este evento genere un sentimiento de responsabilidad y compromiso.,1,alegria
A veces siento que es un suave recordatorio de por qué estamos adoptando,2,amor
No puedo decir si los momentos de shock que no siento se deben a que estoy hastiado o si Lovecraft realmente perdió la nota para usar una analogía musical.,0,tristeza
No me siento muy feliz de escribir este blog porque prefiero tejer.,1,alegria
"Digo que me siento generoso, así que tengo tres ganadoras: Lisa Laurie y Teresa.",1,alegria
He comenzado a sentir que tengo contribuciones y conocimientos valiosos que hacer dentro de una red de profesionales.,1,alegria
Me perdono por aceptar y permitirme sentirme humillado y rechazado porque alguien fue elegido sobre mí.,0,tristeza
"Puede que me sienta así, pero el hecho de que las historias creadas por adultos y destinadas a niños contengan mensajes que no son tan inocentes realmente me hace preguntarme quién es exactamente más maduro.",1,alegria
Me siento bastante tranquilo pero el veredicto del jurado aún no ha llegado.,1,alegria
Finalmente encontré esta tarde y la uso sintiéndome como un merodeador vicioso.,3,ira
"Me senté en mis sentimientos por un poco más de tiempo y el Señor me mostró algunas verdades realmente interesantes que quiero compartir. El miedo al hombre es una trampa, pero quien confía en el Señor se mantiene a salvo.",1,alegria
Siento que quedarás completamente satisfecho con los resultados.,1,alegria
Siento el decidido empujón del espíritu santo para poner fin a mi letargo y a mi amor propio.,1,alegria
Ya siento nostalgia por un país que no es mío.,0,tristeza
"Asistiré a clases universitarias y tendré un montón de cosas que contarles, como cómo van las clases, cómo me siento y si conozco a alguien lindo o no.",1,alegria
Me siento atontado y horrible,0,tristeza
"Apilo almohadas en su lado de la cama para que se sienta menos vacío, pero es muy agradable tener a una persona real de vuelta en la cama.",0,tristeza
Sé que tengo ciertos aspectos de mi personalidad que podrían mejorarse. He tenido la impresión de que todo ha ido bien. Me siento absolutamente asaltado por la afirmación de que mis compañeros de trabajo se han estado quejando de mí a mis espaldas.,4,miedo
De repente me siento muy enérgico,1,alegria
"No estoy tan enojado y molesto como lo estaba ese día, pero ahora tengo miedo.",4,miedo
Me siento muy risueño y optimista aunque siento que probablemente debería estar malhumorado y sombrío.,1,alegria
"Me siento desanimado cuando ser Peter Varvel no es lo suficientemente bueno. Me pongo una persona que me inspira, ya sea real o imaginaria.",0,tristeza
Me siento avergonzado porque estaba haciendo exactamente lo que la Biblia enseña en contra.,0,tristeza
Me siento abrumado y quiero olvidarlo todo.,5,sorpresa
Empiezo a ver que es un problema cuando una tarde me siento tan deprimido que no puedo esperar una hora hasta que mi amiga regrese para hablar con ella.,0,tristeza
Me siento absolutamente fantástico y espero que el bebé también lo haga.,1,alegria
ya me siento lloroso,0,tristeza
me siento todo glamoroso,1,alegria
Le gruñí y comencé a sentirme extremadamente molesto con ella.,3,ira
Lo escucho y me siento en paz y feliz y ¿a quién no le vendría bien una gran dosis de eso en sus vidas?,1,alegria
Envié a mi novio Bobby cuando me sentía particularmente melodramáticamente impotente. Extraño tener una casa en los Estados Unidos y extraño mi sudadera y extraño taco bell.,4,miedo
"Me siento de mal humor, estoy muy a la defensiva al respecto.",3,ira
Quería que se sintiera especial para todos los invitados que eligieron Alise y Jeremy.,1,alegria
Me apasiona mucho compartir la historia de nuestra familia contigo.,2,amor
Aunque me siento un poco vanidoso cuando la gente me dice que soy bonita.,0,tristeza
Creo recordar que me sentí muy contento,1,alegria
"Intento sentirme seguro al respecto, pero cuando nuestras miradas se encuentran, me siento fuerte como en el gimnasio, tenemos máquinas de ejercicio y solo podía ganar libras en promedio y siempre quise hacerlo.",1,alegria
"Estoy harto de que te sientas triste y molesto, así que hagámoslo enojado porque puedo manejarlo.",0,tristeza
"No voy a hablar demasiado sobre la relación, pero sé que me siento muy contento estos días.",1,alegria
Ahora me siento casi resignado a la pérdida de las esperanzas y los sueños que alguna vez tuve.,0,tristeza
"Me desperté esta mañana después de horas de sueño interrumpido sintiéndome mal, principalmente en las piernas.",0,tristeza
"Nunca pensé que sentiría ni una pizca de simpatía por Hussein, a quien siempre vi como un matón de poca monta, cualesquiera que fueran mis pensamientos sobre las acciones contra su administración.",3,ira
"Siento que está muy distraída, pero cuando se trata de mi hermano de un año, ella lo atiende de pies y manos.",3,ira
Siento simpatía por las empresas que han hecho negocios durante uno o dos siglos y que de repente se enfrentan a una situación completamente diferente.,2,amor
"No estoy reprimiendo mi enojo, pero lo estoy reprimiendo para poder elegir con una mente más clara y sentirlo sin ejecutar a alguien por algo insignificante.",3,ira
Nunca dejo de divertirme cuando con una sola expresión facial tengo el poder de modificar el comportamiento de un estudiante.,1,alegria
Leí premonición. Tuve la rara sensación de que me atrapó cómo Dewi Lestari juega locamente con las metáforas en sus encantadoras palabras.,1,alegria
Estoy seguro de que lo superaré. Me siento llorón hoy.,0,tristeza
Me estoy permitiendo sentir estas cosas y no ser molestado.,3,ira
"Todavía me siento necesitado y lo que mi familia humana no puede darme, estoy buscando en otra parte.",0,tristeza
He sido bendecido con el conocimiento de estas cosas y me sentiría desagradecido si no las compartiera con otros.,0,tristeza
Puedo sentir que mi vida es la más maravillosa.,1,alegria
sólo siento júbilo y júbilo,1,alegria
Generalmente me siento triste por la pérdida de dinero y porque no lo usaré de todos modos.,0,tristeza
De repente me siento como una especie de virgen inocente.,1,alegria
"Siento que está frenética por controlar su mensaje, desconfía de las lecturas de los demás, teme el significado que puedan encontrar o crear en su actuación.",4,miedo
Me siento muy contento con solo escuchar la canción.,1,alegria
Incluso diría que son importantes en cuanto a cómo se siente mi pareja sobre cualquier cosa y que el resto ha sido ridículo.,0,tristeza
"No me gusta la idea de que las mujeres en la industria del entretenimiento, especialmente en la música pop, puedan sentirse presionadas a convertirse en tartaletas hipersexuales, pero tengo la sensación de que Rihanna no está siendo provocativa porque siente que tiene que hacerlo",4,miedo
Me sentí asustado ahora,4,miedo
Supongo que lo que estoy tratando de decir es que no tengo novios abusivos ni sueños aplastantes ni pérdida de empleos no hay ninguna razón real para sentirme deprimido pero lo estoy,0,tristeza
"Sé que a todos les parece muy repentino, pero no estoy seguro de cuánto puedo comunicar lo cómoda que me siento con él, lo similar que miramos el mundo y lo comprensivo y amoroso que ha sido conmigo.",2,amor
"Recuerdo en particular un día de Año Nuevo en la escuela secundaria cuando me sentía trágica y melancólica y, en general, como una niña de quince años.",0,tristeza
Me he sentido tan cansado,0,tristeza
"También creo que es desconcertante que después de que este administrador en particular me haya elogiado por mi capacidad para lograr que mis alumnos lean, sienta que el tiempo de ssr no es un uso productivo del tiempo de clase.",1,alegria
"Puedo sentir que mi sangre comienza a hervir, mis manos comienzan a temblar y de repente me siento muy caliente.",2,amor
"Me siento desanimado, ¿por qué deberían venir las sombras? ¿Por qué mi corazón debería estar solo y anhelar el cielo, el cielo y el hogar cuando cuando Jesús es mi porción, mi amigo constante es él, oh, su ojo está en el gorrión y sé que él vela, me cuida?",0,tristeza
Me siento totalmente aburrido pero no tengo idea de qué escribir en el blog hoy.,0,tristeza
No sé de qué otra manera describir lo bien que me siento. Juro que he estado riendo todo el día.,1,alegria
"Me sentiría afortunado de llamar mío a cualquiera de los materiales y kits de su sitio, están muy bien seleccionados.",1,alegria
Me siento presionado a brindarle a mi fiel lector un borrador simulado. He decidido seguir adelante prometiendo enfatizar la especulación en lugar de un borrador simulado educado.,2,amor
Me siento agotado como siempre.,0,tristeza
También me siento un poco egoísta cuando me emociono por llevarnos bien con nuestros amigos porque me hace sentir victorioso en nuestras elecciones.,3,ira
Odio sentirme estúpido e incompetente,0,tristeza
Me siento como la gente a la que más no le gustó.,0,tristeza
Me siento un poco avergonzado pero aquí está el Dr.,0,tristeza
"No podía sentir nada más que un extraño tirón, así que me sentí aliviado por decir lo menos.",4,miedo
Tengo la sensación de que está muy orgulloso de su trabajo.,1,alegria
"Realmente lo siento, pero de alguna manera no es suficiente para mí odiarlo o enojarme.",3,ira
No debería sentirme del todo tranquilo,1,alegria
"No puedo empezar a expresar los sentimientos que esta visión romántica condenada al fracaso despertó en mí, las semillas que crecieron a lo largo de toda la vida.",0,tristeza
Puedo estar rodeado por un mar de gente y aun así sentirme solo,0,tristeza
"Me siento impotente y desesperado porque siento que no tengo el control de mi propia vida, aunque en realidad lo tengo totalmente.",0,tristeza
Siento que te sacudiste un poco sorprendido por la mano que te tocó,5,sorpresa
Siempre he querido helado cuando me siento mal.,0,tristeza
Hablo mucho sobre sentirme aislado,0,tristeza
"Estaba trabajando en un lugar determinado y todos los días, después del trabajo, papá venía a recogerme, un día no vino.",4,miedo
Me siento descontento con todo y se manifiesta de manera destructiva y autosaboteadora.,0,tristeza
Me siento más irritado que tranquilo.,3,ira
Podría conectarme genuinamente y disfrutar en lugar de retirarme y sentirme resentido.,3,ira
Siento que he estado hablando de historias de creación desde siempre y estoy emocionado de poder finalmente moverme.,1,alegria
Me cuesta mucho permitir que la gente haga cosas buenas por mí sin sentirme insultado o como si estuviera en deuda con ellos.,3,ira
"Quiero decir, caray, fue criada para no sentir compasión, ella tenía todo amor y se sentía torturada y golpeada desde muy joven, así es como funcionan los mord sith.",3,ira
"Puedo comprender sus sentimientos y valorar enormemente su enfoque apasionado de la vida y, aunque me beneficio diariamente de su capacidad para empatizar con mis propios sentimientos, parece que me falta la capacidad de devolverle ese regalo.",2,amor
Llegué a casa sintiéndome deprimido,0,tristeza
Ojalá tuviera la semana libre también. Me apetece una semana tranquila ordenando y limpiando viendo películas viejas y televisión durante el día con ellos.,1,alegria
Estaba construyendo con Angie. Me siento profundamente traicionada y muy enojada.,3,ira
Incluso me siento extraño si me olvido de la prebase y me pongo base en la piel desnuda.,4,miedo
me siento agradable,1,alegria
Me siento particularmente mal con respecto a mis capacidades de aprendizaje de idiomas esta semana.,0,tristeza
Estaba empezando a pensar que me habían excluido de las filas del desafío de improvisación de travesuras frugales y estaba empezando a sentirme un poco inseguro acerca de mi primera entrada el mes pasado.,4,miedo
Me sentí fatal el domingo.,0,tristeza
Me desperté sintiéndome esperanzado,1,alegria
"Siento que fue patético, diablos, incluso si algún director lo viera, no me querrían, así que en lugar de un drama, quiero probar una comedia de situación.",0,tristeza
"Sé que no estoy en el mejor lugar de mi vida todavía lidiando con el problema de la infertilidad, pero siento que tengo mucho que agradecer.",1,alegria
Me he sentido apático y loco,0,tristeza
Solo lo intenté durante tres y todavía puedo sentir el anhelo que conlleva querer un hijo.,2,amor
"Me pregunto cómo es la vida de otras personas, personas que pueden amar y ser amadas, que pueden tener relaciones sexuales y disfrutar de la experiencia, que pueden sentir felicidad, que llegan a sentirse aceptadas, queridas y necesarias.",1,alegria
Supongo que así se sienten muchas cosas cuando no te sientes bien.,1,alegria
Todavía no puedo superar el hecho de que me siento absolutamente bien.,1,alegria
"Me siento como si esta niña de un año estuviera realmente desconsolada otra vez, explicó.",0,tristeza
"Me enojé mucho cuando se fue, aunque puedo entender cómo debe sentirse y no seré codicioso ni lo molestaré por eso.",3,ira
"Cuando la escucho, siempre me siento fortalecido de que podemos ganar esta guerra contra la deformación escolar depredadora.",1,alegria
Muchas veces me siento perdido aquí porque todos nuestros amigos parecen dejarnos y alejarse.,0,tristeza
Recuerdo estar acostada en el baño sintiéndome muy emocionada al saber que iba a traer a mi bebé al mundo el día en que enterraron a la señorita Cook.,0,tristeza
Pongo mi pierna alrededor de la tuya y envuelvo mis brazos debajo de los tuyos para sentirme seguro otra vez.,1,alegria
Siento que teníamos una conexión pero hemos luchado tanto que ahora la hemos perdido y me siento muy mal por eso.,0,tristeza
me siento devastado ahora mismo,0,tristeza
"Siento que hay algo valioso en el estudio de Herzog, particularmente en lo que se refiere a la idea de que el arte y los medios influyen en la sociedad y la cultura.",1,alegria
"No me siento muy bien, pero aun así he logrado arrastrar mi cadáver a Nordstroms un par de veces, así que todavía hay vida en mí.",1,alegria
Recuerdo sentirme consternado por esta observación.,0,tristeza
"Sé que contribuyeste a mi éxito, pero hoy me siento lo suficientemente mezquino como para ignorar esas contribuciones.",3,ira
"Siento que puedo leer todos los artículos y blogs e incluso los comunicados de prensa del maratón de Akron en el mundo, pero nada puede calmarme.",1,alegria
Me siento tremendamente juguetón artístico hambriento desconcertado moderno estelar y maravilloso,1,alegria
Me he sentido maravilloso y ahora disfruto regularmente pequeños golpes de kárate dentro de mi abdomen que hacen que mi corazón gire en círculos de alegría.,1,alegria
Me siento hermosa es una palabra muy apropiada para describir el nuevo álbum en mi humilde opinión.,1,alegria
Me detengo en este asunto y más me enfurece que se me considere tan humilde.,3,ira
"Salí de allí con una mejor comprensión de lo que estaba pasando en el experimento, pero también sintiéndome un poco aturdido porque solo tenía una ecuación para describir todo esto.",5,sorpresa
"No creo necesariamente que las bombas y el sexo sean necesarios en todas las historias, pero me siento tranquilo cuando los veo en las revistas impresas.",1,alegria
"Me siento aprensivo antes de conocer a alguien nuevo, especialmente en una situación grupal, pero simplemente me inscribo en todo lo que puedo y espero haber encontrado el coraje para hacerlo cuando llegue el momento y siempre lo he hecho hasta ahora.",4,miedo
Siento que he impresionado a muchos científicos con mi capacidad para adquirir rápidamente todas las habilidades que se esperan de un técnico.,5,sorpresa
Tengo la sensación de que de todos modos voy a recibir un comentario desagradable.,0,tristeza
Me siento más que un poco aturdido.,5,sorpresa
Me siento muy derrotado y negativo y ¿cuál es el punto de todo esto hoy?,0,tristeza
No me sentí apurado por terminar millones de cosas y pude concentrarme en cada tarea por separado.,3,ira
Acababa de comprar algunas cosas en Guardian para concursos y me sentía un poco exagerado si también agarraba indiscriminadamente el cuidado.,2,amor
Me siento terriblemente egoísta y fraudulento.,3,ira
Estoy seguro de que el Kremlin quiere que se conviertan en terroristas suicidas sólo para poder tomar medidas enérgicas como sucedió con los chechenos o con los muyahidines afganos entrenados por la CIA en Arabia Saudita antes que ellos.,1,alegria
Siempre me siento bastante inteligente cuando uso esto.,1,alegria
Siento como si hubiera tenido un encuentro desafortunado con Tyler Durden y su club de lucha.,0,tristeza
me siento como el boticario de romeo y julieta una comparación desafortunada tal vez,0,tristeza
Estoy muy triste por haberme perdido la feria de ropa masculina porque siento que vale la pena apoyar esta iniciativa para mostrar más ropa masculina.,1,alegria
A estas alturas estaba empezando a sentirme un poco malhumorado.,3,ira
En cierta situación me sentí abandonado y perjudicado inmerecidamente.,3,ira
me siento realmente desconsolado,0,tristeza
Lo siento por el resto de nosotros en Second Life que entendemos que sin más apoyo para los usuarios primerizos nuestro mundo continuará en su lenta espiral de muerte.,0,tristeza
Me siento bastante imbécil o al menos complaciente.,1,alegria
El primer día que visité el hospital me disgustó porque sentí un olor desagradable que nunca esperé y casi me escapo del curso.,3,ira
Siento que estoy condenado al fracaso porque me preparo para pensar que estoy condenado al fracaso.,0,tristeza
Mantuve mi corazón abierto y expuesto mientras veía las noticias todas las noches. Probablemente nunca me recuperaría de la avalancha de sentimientos de impotencia y desesperanza creados por todas las historias trágicas.,0,tristeza
Me di cuenta de lo que me apasiona: ayudar a las mujeres a sentirse aceptadas y apreciadas.,2,amor
Siento que se podría dedicar una publicación a lidiar con las emociones causadas por situaciones vs.,2,amor
"Me refiero a un comentario en el patrón en este momento, no me siento tan divino realmente ya que probablemente nací con un par de dpns en mis manos.",1,alegria
Me siento muy tranquilo donde estoy ahora.,1,alegria
"Me siento muy afortunada de vivir en Portland, tierra de comida deliciosa.",1,alegria
Creo que merezco por una vez esta libertad que me hace sentir increíble.,5,sorpresa
Me siento maravilloso. Earley dijo.,1,alegria
Me sentiría un poco reprimido en mi creatividad y las ideas no me llegarían tan fácilmente.,0,tristeza
"Pensé que estaba listo para comprometerme en una relación con alguien, pero cuando sucede me siento entumecido.",0,tristeza
Me siento absolutamente derrotado socialmente,0,tristeza
no tengo sentimientos de descontento,0,tristeza
Me siento apreciado Me siento amado Siento que he hecho más que simplemente dedicarme al oficio que adoro y ganarme la vida con ello y más que simplemente cumplir la única ambición real que he tenido de convertirme en escritor profesional.,2,amor
tengo ganas de escuchar música suave,1,alegria
Siento y me duele cómo alguien iba a ser castigado,0,tristeza
Me depilé las cejas el otro día y me siento glamorosa.,1,alegria
no me siento tan irritado,3,ira
"Normalmente lo llamaría estúpido y sin sentido, pero supongo que me siento un poco aventurero.",1,alegria
Me siento exhausto y solo quiero que me cuiden.,0,tristeza
"Contengo toda emoción, le pregunté, su wen es una risa, dijo, nos ve sonriendo a un lado, tal vez el sentimiento de que estoy sinceramente preocupado por su wen es correcto.",1,alegria
A veces me siento patético porque,0,tristeza
Ahora me siento un poco menos ansioso por todo esto y de hecho estoy empezando a esperar con ansias el desafío del gran evento.,4,miedo
Tengo que ir a una reunión y tengo sueño muchas veces me quedo dormido en esa reunión o lucharé por mantenerme despierto y siento que me están torturando para permanecer despierto.,4,miedo
Siento que estas personas son algunas de las personas más inteligentes y talentosas que he conocido.,1,alegria
